,category,title,body
5250,blond,amusement park ride,why did not the blonde go on the amusement park ride? because he was too tall.
5256,knock-knock,warm welcome,knock knock go away!!! we do not want any!!!
5257,insults,don't feel bad...,"do not think of yourself as an ugly person, think of yourself as a really pretty monkey."
5259,men / women,breast,what is the quickest way to a woman is heart? through her left breast.
5261,other / misc,sit sleep and brush,"what can you sit on, sleep on, and brush your teeth with? a chair, a bed, and a toothbrush!"
5263,animal,polar bear,q  what is a polar bear is favorite cereal? a  ice krispies
5264,other / misc,pick up lines,are you a parking ticket? cause you got fine written all over you!!!
5266,lawyer,the circus of congress,what do a circus and congress have in common? they are both full of clowns
5267,yo momma,ma vs mj,"yo momma so scary, she scares michael jackson!"
5268,one liners,shark,what is the best way to talk to a shark? long distance!
5275,yo momma,your mom has crabs!!!,yo mama is so nasty she is got to pour sand down her pants to keep the crabs happy!
5276,news / politics,oops!,"what did dick cheney say before he shot his hunting companion? ready, fire, aim!"
5277,men / women,what do you....,"what do you call an intelligent, good looking man? a  a rumor!"
5278,men / women,what do you call.....,q  what do you call a handcuffed man? a  trustworthy
5279,knock-knock,ice cream,knock knock? who is there? ice cream. ice cream who? i scream for ice cream!!
5280,other / misc,spiders,q  where do spiders go to learn new words? a  web sters dictionary!!
5281,one liners,poor dog,why did the poor dog chase his tail? he was trying to make ends meet!
5283,yo momma,verizon hired-less,yo momma is like a cell phone  free on nights and weekends!
5284,yo momma,shot gun,yo mamma is like a shot gun  one cock and shes ready to blow!!
5285,news / politics,bush,george bush to friend  sorry i forgot your birthday. dick cheney forgot to put it on my to do list.
5286,insults,public toilets,"boys are like public toilets  they are either taken, or full of crap.  no offense to you boys "
5295,yo momma,dumb,yo momma is so dumb when she got locked in the matress king she slept on the floor
5297,insults,yo daddy,"your daddies so old, i slapped his butt and his balls fell off"
5298,insults,latino joke against white people,say it really fast say pink cheese green ghost  fast if ur a true latino youll get wat this means
5299,insults,basket ball,"why are black people so good at basket ball? because they can run, shoot and steal."
5300,yo momma,yo momma,yo momma is so fat she uses a rocket ship as a dildo.
5301,redneck,#1 redneck,you might be redneck if you have totaled every car you have owned.
5302,redneck,#2 redneck,you might be a redneck if you answer to more than one nickname.
5303,redneck,#3 redneck,you might be a redneck if you have orange road cones in your living room!
5304,redneck,#4 redneck,you might be a redneck if your toenail clippers say craftsman on the side!
5305,redneck,#6 redneck,you might be a redneck if you have never stayed in a hotel without stealing something
5306,redneck,#7 redneck,you might be a redneck if you have ever videotaped a dog loving on someone is leg.
5311,animal,why did the squirrel cross the road,why did the squirrel cross the road? because it was nuts!!!!!!!!!!!!!
5316,other / misc,what amimal,what amimal walks with its feet on its head? a flea.
5317,animal,rooster,why did the rooster cross the road? to fuck the chicken.
5318,animal,elephant,why did the elephant cross the road? because the chiken retired.
5319,yo momma,couch,"yo momma is so stupid, she sat on the tv and watched the couch."
5322,puns,tigger,why does tigger smell so bad? cause he is always hanging out with pooh.
5326,other / misc,golfing,why does a man wear two pairs of pants when he goes golfing? he might get a hole in one!
5328,insults,diapers,boys are like diapers.... always on my ass and full of shit.
5331,animal,foxxxy,once i like bought a fox and i like named him jorge and like he died and i cried so i bought shoes.
5339,yo momma,godzila,when your mom whent to china people would say  run it is godzilla! 
5340,yo momma,lost,yo momma is so fat when she hugs people they get lost!
5341,insults,cream filling,q  what do you say when you see a group full of black people? a  where is the cream filling?
5342,insults,yard sales,why do alot of people go to black peoples yard sales? a to get there stuff back.
5343,yo momma,bathroom,yo momma is so stupid she got locked up in the bathroom and she peed in her pants!!
5344,yo momma,yo momma's so fat...,"yo momma is so fat, when she went in a hot air balloon there was a solar eclipse!"
5346,redneck,#9 redneck,you know you are a redneck if your fence doubles as your clothesline
5347,redneck,#10 redneck,you know you are a redneck if you have season tickets for the tractor pull.
5349,redneck,#12 redneck,you know you are a redneck if a city night on the town includes city jail.
5350,redneck,#13 redneck,you know you are a redneck if your bathroom towels are also your bathroom curtains.
5351,redneck,#14 redneck,you may be a redneck if your burglar alarm is a vacuum cleaner plugged into a motion detector.
5352,redneck,#15 redneck,you might be a redneck if you have ever watched a tornado from a lawn chair.
5353,redneck,#16 redneck,you know you are a redneck if you paint your garage with a paintball gun.
5354,redneck,#17 redneck,you might be a redneck if you have ever been fired for shooting spitballs.
5362,gross,nuts,what do you call a black guy and a white guy having sex? mixed nuts.
5363,gross,lemonade,what do you call a nun is urine? virgin lemonade
5365,yo momma,sun,"yo momma is so fat, she makes the sun look like a pebble!"
5366,yo momma,burp,"yo momma is so nasty, when she burped she started a nuclear war!"
5368,puns,opera singers and sailors,how are opera singers and sailors alike? they both have to handle the high seas cs !
5380,yo momma,bath tub,"yo momma so fat, she filled up the tub before she put the water in it."
5396,other / misc,walls,q  what device lets you see through a wall? a  window
5399,yo momma,so fat,"yo momma is so fat, when she wore a blue rain coat people said,  let is go swim in the ocean! "
5400,redneck,floorbuffer,you might be a redneck if you ride the electric floorbuffer and mistake it for your wife!!
5402,redneck,tube top,you might be a redneck if you wear a tube top to a funeral!
5403,men / women,hot guys,"you might think that some guys are hot. their boyfriends think that, too!"
5409,other / misc,chuck norris facts: 21,chuck norris is.... ...stupid.
5410,animal,polar bear,q  what do you call an arctic animal shaped like a tooth? a  a molar bear!
5432,news / politics,viagra,what happens when you give a politician viagra? he gets taller.
5434,puns,scone,what happens to a scone when you have eaten it? it is scone.
5435,yo momma,test day,yo momma is so dumb she studied for a urine test!!
5436,yo momma,yo momma so ugly,"yo momma is so ugly, yo daddy had eye surgery to remove his sight!"
5445,redneck,how to confuse a redneck,how do you confuse a redneck ask him a question that is not about nascar.
5469,animal,french dog,why did the french dog look in the toilet? wee wee
5470,redneck,you might be a redneck if...,you might be a redneck if you take your family to k mart to see a movie.
5482,puns,scientist,what do scientists use to freshen their breath? experi mints
5483,puns,dinosaur,what do you call a dinosaur that smashes everything in its path? tyrannosaurus wrecks
5484,redneck,redneck joke,you might be a redneck if your kids are named after the car they were made in.
5486,puns,3 legged dog,"one day a three legged dog walked into a bar. he said,  i am looking for the guy that shot my paw. "
5498,yo momma,title,"yo momma is like a radio station, everyone can turn her on."
5499,puns,animal crossing,what do you get if you cross a rhino and and elephant? elepf ino  pronounced  hell if i know  
5510,redneck,redneck joke 2,you might be a redneck if your limo at your wedding was a tractor and trailer.
5511,redneck,redneck joke 3,you might be a redneck if your honeymoon was at the family farm.
5512,puns,weird words,the king had a powerful army. he reined for 7 years before clearing the clouds!!!
5513,one liners,my computer,"my computer is so old, it has a vhs slot instead of a cd dvd slot!!!"
5517,one liners,which is it?,how can you tell the difference between a violin and a fiddle? look at the audience!
5531,men / women,the guy!,once there was a guy who liked cheese.
5532,one liners,hippo,i like hippos 'cause they are fat and do not care what other hippos think.
5534,blond,dumb,blonds are so dumb. i am lucky my hair is yellow.
5535,yo momma,peanutt butter,"yo momma is so fat, she stepped on a peanut and she made peanut butter."
5536,yo momma,stupid,"yo momma is so stupid, she is stupid."
5550,one liners,did you here?,did you here about the giant with a nosebleed? it was all over town
5553,redneck,you might be a redneck,you might be a redneck if your dog is in your bed more than your wife.
5554,knock-knock,haha,"knock knock who is there? kook kook who? hey, who you calling cukoo mister?"
5555,one liners,crowing cock,why does a cock always close his eyes when he is crowing? because he already knows the text!!
5556,tech,einstein and newton,what is the similarity between einstein and newton? neither of them ever had a mobile phone!
5557,animal,stink pigs,why do pigs stink? because they have four armpits..
5558,at work,unpushed door,"what door cannot be pushed, even by 10 people simultaneously? the door that says  pull"
5563,redneck,you might be a redneck if...,you fart and you are proud of the smell
5565,yo momma,yo momma,yo momma is so uncoordinated she could not hit water if she fell out of a boat.
5566,yo momma,yo momma's so fat....,yo mommas is so fat it takes a twinky and a tub of butter to get her through the door.
5568,animal,sparky,q  what do you call a dog with no hind legs and metal balls? a  sparky!
5572,animal,watch out for that snake,what do snakes use for birth control? an anacondom!
5573,one liners,pick up lines #2,boy  is your dad a baker? girl  no. why? boy  cause you are a cutie pie!!
5574,yo momma,the bus,"yo momma is just like a bus. they are big, smelly, and you can ride it for a buck."
5585,yo momma,fat,"yo momma is so fat, her blood type is rocky road."
5589,other / misc,procrastinators,procrastinators meeting tomorrow.
5590,yo momma,mama,"yo mamma is so fat, when she went to the zoo elephants called her mom."
5591,at work,wtf???,a guy goes to work and kills everyone...what is this called...? going postal...
5595,one liners,pick up lines,"is your dad a baker? because those buns are lookin' good! i lost my phone number, can i have yours?"
5609,knock-knock,irish,knock knock! who is there? irish! irish who? irish i could think of a better joke!
5613,redneck,you might be a redneck if...,you might be a redneck if you have ever bought a birthday present out of a vending machine.
5615,redneck,you know you're a redneck if 1.,you are a legal heir to a fireworks stand.
5616,redneck,you know you're a redneck if 2,local cops know you by your nickname.
5617,redneck,you know you're a redneck if 3,you get homesick watching cops on tv.
5619,redneck,you know you're a redneck if 4,"your parrot can say,  open up, it is the police! "
5620,redneck,you know your a redneck if 5,you used a cheat sheet during your hunter is safety test.
5621,redneck,you know you're a redneck if 5,your current wife was a bridesmaid at your first wedding.
5630,insults,make up,"as an insult you could say  you know, most of you weight comes from all that make up your wearing! "
5634,animal,dog,i sprayed my dog with spot remover. now he is gone.
5656,medical,nipples,"q   why do women have nipples? a   because, if they did not, boobs would be pointless"
5660,yo momma,global warming,yo momma is so fat she farted and caused global warming
5661,redneck,you might be a redneck if...2,you might be a redneck if for your prom you wore a strapless dress but wore a bra that was not.
5669,men / women,do you love me?,"once i asked a guy,   do you love me, or is that a banana in your pocket? "
5670,redneck,you might be a redneck if...3,you might be a redneck if you think cauliflower is a phone dating service for flowers.
5674,knock-knock,king...,"knock,knock! who is there? king! king who? king kong is now part of china."
5675,other / misc,circles,why is a circle so hot???? because it is 360 degrees!!!
5677,medical,does it hurt?,"doctor   does it hurt when you do this?  patient   yes  doctor   well, you should not do it then. "
5678,knock-knock,a chu,knock knock! who is there? a chu. a chu who? bless you!
5679,animal,giraffe,why was not the giraffe invited to the party? he was a pain in the neck to talk to.
5683,redneck,another redneck joke,if you name your kids after dead family pets you just might be a redneck!
5686,news / politics,30 seconds,it is amazing how politicians can fit all their good points in a 30 second tv commercial.
5688,one liners,america,only in america can a poor black boy turn into a rich white woman...  michael jackson 
5689,one liners,america #2,only in america can a president have relations in the oral office
5690,redneck,yet another redneck joke,if you met your wife on a hunting trip you just might be a redneck.
5693,yo momma,funny,"yo momma is so poor, that when i went to her house, a roach tripped me and a rat took my wallet."
5701,redneck,still yet another redneck joke,if you have more pets than relatives you just might be a redneck.
5704,men / women,men driving,why do men pick their noses while driving? because their butts are too hard to reach!
5713,one liners,mary's little lamb,mary had a little lamb! the doctor fainted!
5714,children,best thing,q  whats the best thing about children? a  making them!!
5716,yo momma,yo momma,"yo momma is so old, that she cooked the last supper!"
5717,yo momma,ugly,yo momma is so ugly that even ripley is could not believe it!
5718,knock-knock,you!,knock knock. who is there? you! you who? what are you so happy about?
5720,one liners,like i said before..,"like i said before, i never repeat myself."
5722,other / misc,friend,i am so bad my imaginary friend left me.
5723,animal,gum,why did the piece of gum cross the road? because it was stuck to the chicken is foot!
5724,other / misc,do you know why ... in iraq,do you know why there are no wal marts in iraq? because there are so many targets.
5729,blond,good jokes,good joke  a blonde. better joke  a blonde playing chess. best joke  the blonde wins the game.
5730,blond,oh i'm gonna slip again,"q  what did the blonde say after seeing the banana on the ground? a  oh, i am gonna slip again!!"
5732,redneck,you might be a redneck if...,you have ever called the towtruck on yourself because you could not afford gas.
5733,other / misc,amanda,"what 3 words are in the name amanda? a, man, duh!!"
5734,redneck,you might be a redneck if...5,you might be a redneck if you wore a jumper to your prom.
5735,redneck,you might be a redneck if...6,you might be a redneck if your swimsuit is your bra and underwear.
5738,blond,umm,umm...why is this category called  blond  when really it is spelled  blonde ??
5740,other / misc,what is it?,"q  what is orange, red, and lies in the grass? a  a wounded cheesie!"
5741,animal,ants,why was the baby ant afraid of his uncles? because his uncles were all ants!
5745,gross,german poo,how do you say constipated in german? farfrompoopin
5752,gross,i cup,matt  i bet you can not spell  i cup.  sarah  i c u p matt  eww! you see me pee!
5758,yo momma,yo momma is so dumb,yo momma is so dumb everytime she hears a car horn she yells  happy new year! 
5759,yo momma,so fat,yo momma is so fat they show imax movies on her butt!
5760,puns,what do you call...,what do you call 2 lesbians in a cupboard? a  a liquor cabinet!
5765,one liners,chick magnet,"if a guy is a  chick magnet , and opposites attract, does not that make him gay?"
5768,yo momma,clippers,"you momma is so stupid, she went to the clippers game to get a haircut!"
5771,other / misc,the world,question  if the world was a jacket where would the people from the ghetto go? answer in da hood!
5772,redneck,you might be a redneck if...,you might be a redneck if you have a pond full of gasoline and a car wreck in the bottom of it.
5773,insults,warning: this joke is raceist,"why do not niggers like dirt bikes? because when it starts, it says   run nigga nigga run. "
5783,puns,elephants,why do not elephants smoke? their butts do not fit in the ash tray
5785,other / misc,flying,q  why did the condom fly across the room a  it was pissed off!!
5790,one liners,oh i'm real scared now...not,what does a horny ghost say to scare people? boo...bs!
5794,one liners,what's the difference,what is the difference between a wife and a prostitute? prostitute is cheaper!
5814,one liners,how long?,'how long will the next bus be?' 'about eighteen feet.'
5815,animal,the cat family,"teacher  can you name four animals of the cat family? mary mother cat,father cat,and two kittens."
5816,at work,funny doctors,"doctor  mrs smith, you have acute angina. mrs. smith  i came here to be examined, not admired."
5818,religious,put me up,"jesus walks into an inn puts 3 nails on the counter and asks,  can you put me up for the night? "
5820,other / misc,triangles,what kind of triangle is never wrong??? a right triangle!!!!!!!
5821,other / misc,5 feet,what kind of trouble does a five foot man have??? five feet!!!
5822,yo momma,for fat people,yo momma is so fat she is fatter than you
5823,animal,cats game,q  what is a cat is favorite game? a  go fish!
5824,yo momma,yo momma so dark,"yo momma is so dark, she is not afraid of the dark, the dark is afraid of her."
5826,yo momma,soo fat,"your momma is so fat, your dad rolled on her and never came off."
5827,yo momma,space,"yo momma is so fat, the only reason she wanted to go to space was to taste the milky way."
5829,animal,the fish's bank,where do fish keep their money? in a riverbank!
5830,one liners,high schools,what do you call a a bunch of fish swimming in the sky?? a high school!!!
5833,animal,grey hounds,q  when is a black dog not a black dog? a  when its a grey hound.
5835,other / misc,monsters hand,where do the monsters go when they lose a hand? to the second hand shop.
5837,other / misc,dog wood tree,farmer  this is a dogwood tree. cityman  how can you tell? farmer  by its bark
5838,knock-knock,isabel,"knock, knock. who is there? isabel. isabel who? is a bel ringing? i thought i heard one."
5839,yo momma,fat,"yo mama so fat, when she breast fed you, you drank bacon grease."
5840,other / misc,puffy,"what did puffy say when ben asked him about j lo ?  take that, take that "
5841,lightbulb,how many wizards does it take to change a lightbulb?,how many wizards does it take to change a lightbulb? none. wizards do not use lightbulbs!
5843,insults,yo momma,your dad is santa claus and your mom is a ho ho ho!
5844,knock-knock,"knock knock, harry p"," knock knock!  who is there?  you know.  you know who?  thats right, avada kedavra!"
5846,puns,a day out at the zoo.,"the other day i went to a zoo, but the only animal there was a dog. it was a shihtzu."
5847,yo momma,cingular wireless,yo momma is so fat she should get cingular on her stomach so she can get rollover minutes.
5848,other / misc,hello? 77 77 77?,"paddy    hello, is that 77 77 77? can you call 911, my finger is stuck in the 7 "
5849,one liners,breakfast ration?,why should you have only one egg for breakfast? because un oeuf is enough!
5852,one liners,reincarnation,"i do not believe in reincarnation, which is strange, because in a previous existence, i did."
5853,insults,two brains,"you used to have two brains. one you lost a long time ago, and the other one went looking for it!"
5854,yo momma,so poor,yo momma is so poor she had to save up to pay attention!
5871,one liners,to kill a circus,how do you kill a circus? go for the juggler!
5873,children,4th grade,billy  i know a person who is 35 and still in 4th grade! eddie  really! who? billy  my teacher!
5877,animal,fish,what did the fish say when he swam into a concrete wall? dam!
5878,yo momma,yo mamma............,yo mamma is so thin when she turns sidways she dissapears
5881,animal,fish 2,what did the fish say when he crashed into a wooden wall? beaver damn!
5882,men / women,men suck,what do you do if you find your old man staggering around the backyard? shoot him again!!!
5883,other / misc,your face,"your face is so ugly, we are going to war over it."
5884,one liners,gay bar,q  what is a pick up line in a gay bar?? a  would you like me to push your stool in?
5885,insults,your face 2,"your face is so oily, we are going to war over it."
5886,yo momma,haha,your mom is like paris hilton ... a dirty whore
5887,animal,why didn't the chicken cross the road?,why did not the chicken cross the road? to prove he was chicken!
5888,yo momma,poor momma #1,"yo momma is so poor, when i went to her house to use the bathroom, she told me to pick a corner."
5890,other / misc,school shoppin',one time i went school shopping... and bought three schools!!!
5891,yo momma,cheap,"yo momma is so cheap, she went to mcdonalds and put a hamburger on lay away."
5892,yo momma,bad breath,"yo momma is breath smells so bad, her teeth packed up and left."
5893,redneck,u might be,"if you work without a shirt on, and so does your husband, you might be a redneck."
5895,yo momma,duh,"yo momma is so stupid, she jumped out the window and fell up."
5896,yo momma,fatty,"yo momma is so fat, i got stuck in her shadow."
5897,puns,where's the sun?,"bloke stayed up all night, wondering where the sun had gone  then it dawned on him."
5900,one liners,village idiot,"my home town is so small, we have part time village idiot."
5901,yo momma,lollipop,"yo momma is like a lollipop, she is round and has been licked by everyone"
5902,yo momma,stupid...,"yo momma is so stupid, she thought fruit punch was a gay boxer"
5904,yo momma,...,"yo momma is so stupid, she has a peep hole in the glass door!"
5905,yo momma,so short,"yo momma is so short, she stepped in a puddle and drowned."
5906,yo momma,50 cent,"yo momma is so poor, she has never seen 50 cent  and ! ai not talkin about the rapper!"
5910,yo momma,toilet paper,"yo momma is so poor, she reuses her toilet paper."
5911,yo momma,huge,"yo momma is so fat, on her drivers' license it says,  picture continued onto other side. "
5918,yo momma,nsync,"yo momma is so stupid, she thinks n sync is where the dirty dishes are put."
5919,yo momma,hunchback,"yo momma is so hunchbacked, she has to wear safety goggles when she pees."
5920,yo momma,x-files,"yo momma is so fat, she wore an x files t shirt and a helicopter landed on her."
5921,yo momma,m&m job,"yo momma is so stupid, she got fired from an m m factory for throwing away all the w is."
5922,yo momma,$$$,yo momma is so fat even bill gates could not pay for her liposuction!
5923,yo momma,sleepy,"yo momma is so fat, she fell over trying to rock herself to sleep and could not get back up."
5924,yo momma,halloween,"yo momma is so ugly, she had to trick or treat over the phone."
5925,yo momma,the 99 cent store,yo momma so dumb she asked for a price check at the .99 cent store!
5927,animal,lonely fisherman,what do you call a lonely fisherman? a master baiter
5928,one liners,wizard of oz (the truth from dorothy),"auntie em, hate you, hate kansas, taking the dog. dorothy."
5929,animal,dog and rose,q  what do you get if you cross a sheepdog with a rose? a  a collie flower!
5931,animal,chasing a cat,what do you call an elephant chasing a cat? depends on what his name is.....
5933,puns,arithmetic,q  what did one arithmetic book say to the other? a  i have a lot of problems.
5938,gross,the frog,what is green and turns red at the touch of a button? a frog in a liquidizer!
5940,insults,what grows on trees?,"money may not grow on trees, but it would seem as if morons like you certainly do."
5944,yo momma,so old,your mom is so old that she was alive when the raiders had both eyes.
5945,gross,dick,life is like a dick... when it gets hard fuck it!
5950,yo momma,water,"yo momma so skinny, when it is pouring outside, she can dodge the raindrops"
5951,yo momma,yo momma stupid,yo momma is so stupid she went to mcdonalds and thought she could buy the whole menu for a  
5952,yo momma,momma,"yo mama is so fat, when god said let there be light, he asked your mom to move over."
5960,yo momma,so ghetto,"yo momma is so ghetto, both she and her dog have weave."
5961,puns,hot new book,101 hot 'n' spicy meals by tung payne
5962,puns,fortune teller,a fortune teller escaped from prison and became a small medium at large.
5963,puns,piano,"show me a piano falling down a mine shaft, and i will show you a flat minor."
5965,yo momma,toilet seat,yo momma is such a whore... she gets more ass than a toilet seat!
5967,gross,what is......,what is green and yellow and eats nuts? gonorrhea
5968,animal,soooooooooooooooo fat,"yo momma so fat, when she fell on the ground, i tried not to laugh, but the ground was cracking up!"
5973,yo momma,yo momma so hairy...,"yo momma so hairy, she got afros around her nipples!"
5978,children,grey hair,grey hair is hereditary   you get it from your kids.
5979,yo momma,so poor,"your momma is so poor, when i picked up a penny she said  you owe me my paycheck. "
5980,yo momma,rainbow,"yo momma so old, when she was a kid the rainbows were black and white."
5981,other / misc,viva la difference,what is the difference between a sock and a camera? one takes five toes and one takes photos.
5983,men / women,my wife,"my wife is so house proud, we live next door."
5985,other / misc,e.t,e.t phone home! that must be one hell of a phone bill
5986,one liners,extroverted mathematician,how can you tell if a mathematician is an extrovert? he looks at  your  shoes when he talks to you.
5990,one liners,another dinosaur,what do you call a one eyed dinosaur? dyouthinkhesaurus
5994,gross,dirty job,toothbrush   i have the dirtiest job in the world  toilet paper   yeah...right 
5995,knock-knock,wtf???,"knock, knock who is there? some. some who? some asshole telling you knock, knock jokes."
6002,yo momma,x-ray,"yo momma so fat, they took her x ray and a picture of a mcdonald is showed up on the screen."
6003,gross,the fly,what is the last thing that goes through a fly is mind when he hits your windshield? his asshole!
6010,insults,hats,why do black people wear hats with such big bills? so birds do not shit on their lips
6018,yo momma,wet baby,yo momma so fat you were born in the middle of the ocean!
6028,yo momma,yo momma,"yo momma is so fat, that she goes to the zoo to see the elephants and they feed her!"
6029,other / misc,chicken,why did the chicken cross the road? to get to the other side!!!
6030,yo momma,phatie,yo momma so fat that people call her fat
6031,yo momma,gravity,yo momma so fat she has her own gravitational pull!!!
6032,one liners,money,"money can not buy everything... but then again, neither can no money."
6034,animal,beebee-gun,gun which shoots bees 
6038,one liners,legs,legs is the word   spread the word.
6040,yo momma,lost,yo momma so fat she walked in front of the t.v and your dad missed the whole series of  lost 
6041,yo momma,fatty,yo momma so fat you can roll over twice and still be on the bitch
6044,yo momma,one more yo mamma joke,yo momma so fat she jumped of the golden gate bridge in san fransisco and baptised england.
6049,at work,shitty,delete this now!
6050,insults,poo,abcdefghijklmnopqrstuvwxyz poo on marigold abcdefghijklmnopqrstuvwxyz
6053,other / misc,knickers!,what do you call two thieves? a pair of knickers!
6054,animal,boom,i want to live in a big castle and to be a princess
6055,one liners,saddam shame(!),when does saddam hussein have his lunch? when tariq aziz.  when tariq has his 
6056,animal,pigs and centipedes,q  what do you get when you cross a pig and a centipede? a  bacon and legs
6058,animal,sheep,what do you call a sheep with no eyes? a blind sheep  what else? 
6060,yo momma,yo momma,yo mommma is so skinny when she went to the strip club they used her as the pole!
6063,one liners,the gambler,betcha i can give up gambling!
6069,religious,interrupted,why did god make man first? because he did not want to be interrupted by woman!
6075,insults,why were you born?,"when you were born, god admitted that even he sometimes made mistakes!"
6076,blond,moon walk,q  how does a blonde moon walk? a  she pulls down her panties and slides her ass along the floor!
6080,gross,the apple,what is worse than taking a bite out of an apple and finding a worm? finding half a worm!
6088,animal,zoo,"last time my friend went to the zoo, he got in trouble for feeding the monkeys... ...to the lions."
6092,men / women,old & ugly,"wife  will you love me when i am old and ugly? husband  darling, of course i do..."
6094,yo momma,so short!,"yo momma so short, you can see her feet on her driving licence!"
6095,yo momma,lips so big!,"yo momma is lips so big, she can whisper in her own ear!"
6102,yo momma,sticks and stones,sticks and stones will not break my bones but yo momma will when she gets on top!
6128,one liners,two cows,"two cows eating grass, on a warm, sunny hillock. by this time tomorrow, that grass will be millock."
6132,college,math problems?,math problems? call 1 800   10x  9i â³   cos xy  1096x 
6133,puns,lobster,why do not lobsters share? they are shellfish.
6134,insults,insults,good insult  your mom goes to college! good comeback  how do you know? stalker!
6135,yo momma,short,yo momma is so short when she falls of the curb it sounds like aaaaaaaaaaahhhhhhhhhhhhhh!
6136,yo momma,innuendo,"yo momma is so stupid, she thought innuendo was an italian suppository."
6139,other / misc,funny sign,ok. i honestly saw this on a billboard  illiterate? call this number to learn how to read.
6144,yo momma,so old!,"your mama is so old, her breast milk is powder!"
6145,yo momma,must be really fat,yo momma so fat she blocks the sun when she is out walking!
6146,insults,mirror,"you call me ugly? where is your mirror, boy?"
6149,one liners,at the bar,"a woman walked into a bar, and asked the barman for a double entendre, so he gave her one."
6155,other / misc,pimping farmer,q  what do you call an alabama farmer with two black sheep under each arm? a  a pimp
6157,insults,brains,"if your brain was dynamite, you would not have enough to blow your hat off!"
6158,news / politics,bush,"every village has its idiot. somewhere in texas, a village is missing theirs."
6168,news / politics,bush,why are not dogs allowed in the white house? they might pee on the bush!
6170,knock-knock,who who?,knock knock! who is there? who who. who who who? is there an owl in here?
6171,knock-knock,mosquito,knock knock! who is there? amos. amos who? amosquito bit me!
6173,knock-knock,toulose,knock knock. who is there? toulose. toulose who? i do not want to lose to anybody!
6174,knock-knock,are you?,"knock knock. who is there? are you, are you who? are you going to let me in or not?"
6175,knock-knock,yudare,"knock knock. who is there? yudare. yudare who? you dare to disturb me,while i am sleeping?"
6176,yo momma,parking,"yo momma is so stupid, she got lost in a parking lot!!"
6178,one liners,a calendar,a calendar â something that goes in one year and out the other.
6189,religious,flush a holy book,you have to see this joke to believe it.   editor is note  link deleted  
6190,other / misc,fast food,what do you get when you cross a cheetah with a hamburger? fast food!
6192,one liners,"money, money",what is the fastest way to double your money? by folding it in half
6199,puns,target,i tried to walk into target one day... i missed
6202,blond,duh!!!,she was so blonde she told someone to meet her at the corner of  walk  and  do not walk .
6203,other / misc,hotdog wins!!!!,what does the hot dog say after winning a race? i am a wiener!!!
6205,one liners,nobel prize,confucius say  sperm sample from nobel prize winner is stroke of genius.
6206,one liners,elevator,confucius say  crowd in elevator smell different to midget.
6207,one liners,airport,"confucius say  man who walk through airport turnstile sideways, going to bangkok"
6224,animal,no pushing!,what did the whale say to the dolphin when he pushed him? i did not do it on porpoise!
6226,yo momma,yo mommas so stupid,"yo momma is so stupid, when they said  drinks are on the house!  she went and got a ladder."
6227,yo momma,orbit,yo momma is so fat that small things orbit her!
6229,yo momma,sumo wrestler,she make olympic sumo wrestlers look anorexic.
6230,yo momma,t.v,"yo momma is so stupid, she watches television on an etch a sketch."
6232,redneck,beautiful woman,"what do you say to a redneck with a beautiful woman on his arm?  hey, nice tattoo! "
6239,one liners,the violin,the gangster is last words â  who put that violin in my violin case? 
6240,puns,thai boxing,i gave up thai boxing because i felt the thais were getting fed up being put in boxes.
6242,one liners,what to give?,what do you give the person who has everything? a box to keep it all in.
6244,one liners,psychic girlfriend,"i almost had a psychic girlfriend, but she left me before we met."
6245,yo momma,cross-eyed,"yo mama is so cross eyed, when i was banging her she thought she was getting a threesome!"
6247,lawyer,interesting statistic...,99.9  of all lawyers make the other ones look bad.
6251,one liners,another interesting statistic!,did you know that 61.8 percent of all statistics are made up on the spot?
6263,medical,falling hair,patient   my hair keeps falling out. what can you give me to keep it in?  doctor   a shoebox! 
6264,animal,how...,how do you make a reindeer fast? do not feed it.
6265,religious,christmas eve,"what did adam say on the day before christmas?  it is christmas, eve! "
6266,insults,tomorrow,"i will be sober tomorrow, but you will be ugly for the rest of your life."
6282,children,broom,what did the mama broom say to the little broom? go to sweep little one.
6293,college,teacher:...,"teacher  julia, how can you say asshole in a nicer way? julia  as holes."
6294,one liners,fluffy,what is pink and fluffy? pink fluff!
6298,puns,juice,"drink apple juice, because o.j. will kill you.  o.j.   orange juice "
6313,animal,grumpy,q  which sea animal is very grumpy? a  the crab!
6314,blond,did you hear about the blond that...,baked a turkey for 3 days because the instructions said 1 hour per pound and she weighed 125.
6325,yo momma,life,"yo momma is life is such a failure, when i gave her a dollar she said her life was complete."
6328,puns,it is inevitable,"the three stages of sex in marriage  tri weekly, try weekly, try weakly."
6336,puns,50 cent,what was 50 cent is daughter named? penny!
6339,lightbulb,how many presidents...,how many presidents does it take to change a lightbulb? none. they will only promise change.
6340,lightbulb,how many new yorkers...,how many new yorkers does it take to screw in a lightbulb? none 'o yo' fuckin' business!
6353,bar,a bar joke,three men walked into a bar. they died
6359,knock-knock,cookie,knock knock. who is there. omg omg who? omg! how long has that cookie been in your lunch box?!
6360,yo momma,shoes,yo momma is feet smell so bad that her shoes committed suicide.
6363,other / misc,what kind of key.,what kind of key can not open a door.
6364,other / misc,what kind of key,what kind of key can not open a door. a monkey
6380,yo momma,some more,"yo momma is so fat, she fell off a donkey."
